ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
FB,2015-05-12,77.87,77.89,76.79,77.46,21285310.0,0.0,1.0,77.87,77.89,76.79,77.46,21285310.0
FB,2015-05-13,77.72,78.53,77.65,78.44,21512309.0,0.0,1.0,77.72,78.53,77.65,78.44,21512309.0
FB,2015-05-14,78.94,81.845,78.67,81.37,49437996.0,0.0,1.0,78.94,81.845,78.67,81.37,49437996.0
FB,2015-05-15,81.41,81.52,80.18,80.42,27069884.0,0.0,1.0,81.41,81.52,80.18,80.42,27069884.0
FB,2015-05-18,80.33,81.38,80.23,80.88,21613674.0,0.0,1.0,80.33,81.38,80.23,80.88,21613674.0
FB,2015-05-19,81.25,81.69,80.55,80.63,17955389.0,0.0,1.0,81.25,81.69,80.55,80.63,17955389.0
FB,2015-05-20,80.47,81.1,79.46,80.55,23056899.0,0.0,1.0,80.47,81.1,79.46,80.55,23056899.0
FB,2015-05-21,80.19,80.92,80.08,80.48,13402749.0,0.0,1.0,80.19,80.92,80.08,80.48,13402749.0
FB,2015-05-22,80.35,81.31,80.25,80.54,19567937.0,0.0,1.0,80.35,81.31,80.25,80.54,19567937.0
FB,2015-05-26,80.43,80.6,79.08,79.335,16321339.0,0.0,1.0,80.43,80.6,79.08,79.335,16321339.0
FB,2015-05-27,79.6,80.66,79.43,80.55,14160865.0,0.0,1.0,79.6,80.66,79.43,80.55,14160865.0
FB,2015-05-28,80.25,81.0745,80.0,80.145,11982008.0,0.0,1.0,80.25,81.0745,80.0,80.145,11982008.0
FB,2015-05-29,79.95,80.07,78.88,79.19,16134580.0,0.0,1.0,79.95,80.07,78.88,79.19,16134580.0
FB,2015-06-01,79.3,80.38,78.66,80.29,18119012.0,0.0,1.0,79.3,80.38,78.66,80.29,18119012.0
FB,2015-06-02,79.76,81.35,79.56,80.445,18923300.0,0.0,1.0,79.76,81.35,79.56,80.445,18923300.0
FB,2015-06-03,81.35,82.53,81.25,82.44,31774993.0,0.0,1.0,81.35,82.53,81.25,82.44,31774993.0
FB,2015-06-04,82.14,82.95,81.51,82.05,20863877.0,0.0,1.0,82.14,82.95,81.51,82.05,20863877.0
FB,2015-06-05,81.87,82.46,81.51,82.14,16143093.0,0.0,1.0,81.87,82.46,81.51,82.14,16143093.0
FB,2015-06-08,81.82,82.0,80.13,80.67,16915471.0,0.0,1.0,81.82,82.0,80.13,80.67,16915471.0
FB,2015-06-09,80.6,81.19,79.32,80.67,16497538.0,0.0,1.0,80.6,81.19,79.32,80.67,16497538.0
FB,2015-06-10,80.83,82.6,80.81,82.16,21531208.0,0.0,1.0,80.83,82.6,80.81,82.16,21531208.0
FB,2015-06-11,82.31,82.9,81.36,81.83,18656811.0,0.0,1.0,82.31,82.9,81.36,81.83,18656811.0
FB,2015-06-12,81.37,82.09,81.2,81.53,11417882.0,0.0,1.0,81.37,82.09,81.2,81.53,11417882.0
FB,2015-06-15,80.55,80.93,80.07,80.71,18805087.0,0.0,1.0,80.55,80.93,80.07,80.71,18805087.0
FB,2015-06-16,80.82,81.51,80.45,81.06,13693666.0,0.0,1.0,80.82,81.51,80.45,81.06,13693666.0
FB,2015-06-17,81.76,82.22,81.34,81.79,18350287.0,0.0,1.0,81.76,82.22,81.34,81.79,18350287.0
FB,2015-06-18,81.64,83.19,81.57,82.905,26782573.0,0.0,1.0,81.64,83.19,81.57,82.905,26782573.0
FB,2015-06-19,82.83,82.98,82.12,82.51,23353194.0,0.0,1.0,82.83,82.98,82.12,82.51,23353194.0
FB,2015-06-22,83.41,84.97,83.31,84.74,29383079.0,0.0,1.0,83.41,84.97,83.31,84.74,29383079.0
FB,2015-06-23,84.96,87.97,84.76,87.88,50667853.0,0.0,1.0,84.96,87.97,84.76,87.88,50667853.0
FB,2015-06-24,87.66,89.25,87.45,88.86,41370227.0,0.0,1.0,87.66,89.25,87.45,88.86,41370227.0
FB,2015-06-25,89.26,89.4,87.835,87.98,27301967.0,0.0,1.0,89.26,89.4,87.835,87.98,27301967.0
FB,2015-06-26,88.12,88.34,86.8283,88.01,38214647.0,0.0,1.0,88.12,88.34,86.8283,88.01,38214647.0
FB,2015-06-29,86.61,87.5,85.73,85.8,35957872.0,0.0,1.0,86.61,87.5,85.73,85.8,35957872.0
FB,2015-06-30,86.6,86.7,85.57,85.765,23233183.0,0.0,1.0,86.6,86.7,85.57,85.765,23233183.0
FB,2015-07-01,86.77,87.95,86.49,86.91,25260045.0,0.0,1.0,86.77,87.95,86.49,86.91,25260045.0
FB,2015-07-02,87.4,87.44,86.3401,87.285,16908781.0,0.0,1.0,87.4,87.44,86.3401,87.285,16908781.0
FB,2015-07-06,86.49,88.1846,86.39,87.55,24635915.0,0.0,1.0,86.49,88.1846,86.39,87.55,24635915.0
FB,2015-07-07,87.8,87.85,85.231,87.22,33059921.0,0.0,1.0,87.8,87.85,85.231,87.22,33059921.0
FB,2015-07-08,86.29,86.75,85.445,85.65,24399340.0,0.0,1.0,86.29,86.75,85.445,85.65,24399340.0
FB,2015-07-09,86.73,87.6,85.6499,85.88,23307402.0,0.0,1.0,86.73,87.6,85.6499,85.88,23307402.0
FB,2015-07-10,87.35,88.22,86.77,87.95,23245873.0,0.0,1.0,87.35,88.22,86.77,87.95,23245873.0
FB,2015-07-13,88.66,90.22,88.42,90.1,29976670.0,0.0,1.0,88.66,90.22,88.42,90.1,29976670.0
FB,2015-07-14,90.46,90.8,89.65,89.68,26627849.0,0.0,1.0,90.46,90.8,89.65,89.68,26627849.0
FB,2015-07-15,90.0,90.99,89.42,89.76,30886601.0,0.0,1.0,90.0,90.99,89.42,89.76,30886601.0
FB,2015-07-16,90.28,90.86,89.77,90.85,21804086.0,0.0,1.0,90.28,90.86,89.77,90.85,21804086.0
FB,2015-07-17,92.55,95.39,92.54,94.97,54001635.0,0.0,1.0,92.55,95.39,92.54,94.97,54001635.0
FB,2015-07-20,95.85,98.6,95.36,97.91,54860541.0,0.0,1.0,95.85,98.6,95.36,97.91,54860541.0
FB,2015-07-21,98.95,99.24,97.1427,98.39,39453332.0,0.0,1.0,98.95,99.24,97.1427,98.39,39453332.0
FB,2015-07-22,96.74,97.58,95.92,97.04,28299518.0,0.0,1.0,96.74,97.58,95.92,97.04,28299518.0
FB,2015-07-23,96.96,97.45,94.81,95.44,29418833.0,0.0,1.0,96.96,97.45,94.81,95.44,29418833.0
FB,2015-07-24,97.35,97.76,95.88,96.95,33444930.0,0.0,1.0,97.35,97.76,95.88,96.95,33444930.0
FB,2015-07-27,96.58,96.61,93.8301,94.17,38585381.0,0.0,1.0,96.58,96.61,93.8301,94.17,38585381.0
FB,2015-07-28,94.84,95.56,93.31,95.29,35235993.0,0.0,1.0,94.84,95.56,93.31,95.29,35235993.0
FB,2015-07-29,96.32,97.28,94.74,96.99,64648320.0,0.0,1.0,96.32,97.28,94.74,96.99,64648320.0
FB,2015-07-30,94.91,95.81,91.8,95.21,86211323.0,0.0,1.0,94.91,95.81,91.8,95.21,86211323.0
FB,2015-07-31,94.95,96.33,93.95,94.01,46509045.0,0.0,1.0,94.95,96.33,93.95,94.01,46509045.0
FB,2015-08-03,93.53,95.08,92.8,94.14,29343117.0,0.0,1.0,93.53,95.08,92.8,94.14,29343117.0
FB,2015-08-04,93.79,94.73,93.33,94.06,20136036.0,0.0,1.0,93.79,94.73,93.33,94.06,20136036.0
FB,2015-08-05,95.25,97.09,95.18,96.44,29629221.0,0.0,1.0,95.25,97.09,95.18,96.44,29629221.0
FB,2015-08-06,97.18,98.74,94.42,95.12,42271318.0,0.0,1.0,97.18,98.74,94.42,95.12,42271318.0
FB,2015-08-07,95.38,95.4,93.61,94.3,23199145.0,0.0,1.0,95.38,95.4,93.61,94.3,23199145.0
